議程類型,標題,說明（選填）,排序,席次（選舉用）
report ,報吿案,例如活動報吿案,,
report ,壹、主席確認出席人數：,,,
report ,貳、主席宣布開會及致詞：,,,
report ,參、現行法規移交：,,,
report ,參、確認前次會議紀錄：,,,
,,,,
resolution ,表決案,例如人事任命案,,
resolution ,肆、確認本次議會議程：,,,
,,,,
election ,案由一：選舉學生會學生議會第八屆議長。,說明：依據《國立高雄師範大學附屬高級中學學生會學生議會組織及運作法》第8條第1項規定，議長及副議長之選舉，由當屆學生議員於任期開始後之第一場會議中互選之。此次議長選舉，共有兩人登記參選，依照《國立高雄師範大學附屬高級中學學生會學生議會組織及運作法》第8條第3項規定，議長或副議長選舉，應有全體學生議員過半數出席，並以得票數最高者當選；如為同額競選，則同意票須大於不同意票方為當選。,,1
election ,案由二：選舉學生會學生議會第八屆副議長。 ,,,1
resolution ,案由三：114學年度高師大附中第拾壹屆學生會人事任命案，提請 審議。 ,如附件檔案。 ,,
election ,選舉學生代表,,,8
election ,案由二：113學年度第3次校務會議臨時學生代表選舉。 ,,,1
temp,臨時動議,不用放,,
